Date,Battery,Battery Consumption,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore
2023-11-20,,,8515.270833333334,3642.745833333333,23183.037500000002,1353.1958333333334,23404.96041666667,10327.514583333334,585.7416666666667,503.8333333333333,600.8916666666667,651.6083333333333,24749.654166666664,6285.670833333334,-3440.1625,21741.629166666666,160535.84347826085,70492.5625,451.73333333333335,3396.379166666667,89.83541666666667,84.3195652173913,127771.75,10251.275,2686.0875,4865.691666666667,23893.354166666668
2023-11-21,,,8448.525,3013.5958333333333,26774.341666666664,1428.4458333333332,27819.869565217392,13032.25,728.5826086956522,645.6958333333333,663.9875000000001,652.0416666666666,24302.958333333332,5806.675,-3185.0875,21390.745833333334,158749.49791666667,71120.4375,450.39166666666665,3127.1869565217394,55.04565217391304,39.34347826086957,131714.65416666667,8302.683333333332,2629.875,6322.412499999999,20579.78913043478
2023-11-22,,,8218.983333333334,1717.3729166666665,26677.608333333334,1526.9208333333333,24125.5125,11461.316666666666,649.4166666666666,201.14583333333334,385.2083333333333,646.9708333333333,23557.333333333332,5241.258333333333,-4085.195833333333,16344.779166666667,162361.25833333333,72593.45833333333,448.5833333333333,3001.7875,92.94791666666667,92.39166666666667,121270.59375,10734.666666666666,2556.0750000000003,7852.962500000001,31796.837499999998
2023-11-23,,,8020.425,-211.23749999999993,16008.729166666666,1532.4291666666668,20080.59574468085,8744.668085106383,678.5489361702128,197.13750000000002,375.30833333333334,653.0041666666667,23305.337499999998,4899.683333333333,-5746.970833333333,16663.716666666667,165680.45957446808,74162.84583333334,457.7791666666667,3858.1957446808515,85.69574468085106,71.54782608695652,107192.7170212766,10602.791666666666,2593.6291666666666,9645.262499999999,48177.57872340426
2023-11-24,,,8151.3,997.8520833333333,16810.4375,1435.6666666666667,19256.552083333332,8476.245833333332,666.6,197.5583333333333,430.46250000000003,655.5583333333333,23058.154166666664,4663.479166666667,-5043.2,17182.920833333334,160400.10416666666,74092.24583333333,452.17083333333335,3993.5437500000003,60.193749999999994,45.62708333333333,106064.28333333333,10964.620833333334,2596.8416666666667,11063.375,43321.808333333334
2023-11-25,,,8439.270833333334,3071.914583333333,22448.170833333334,1484.0375000000001,16182.691666666666,8638.041666666666,778.3666666666667,178.6208333333333,596.2833333333333,663.8583333333333,23054.345833333336,4544.866666666666,-4658.445833333333,17633.741666666665,150900.6595744681,73008.92083333334,453.14166666666665,3177.7166666666667,37.40833333333333,27.363829787234042,108736.3340425532,10400.166666666666,2677.8541666666665,9483.708333333334,31349.020833333332
2023-11-26,,,8831.045833333334,4588.814583333334,26836.204166666666,1492.825,21145.320833333335,10692.066666666668,801.5416666666666,208.77083333333334,784.3708333333334,661.3458333333333,23270.966666666664,4334.491666666667,-2884.504166666667,21868.345833333336,143153.87083333332,74294.2875,452.5208333333333,2549.079166666667,47.28958333333333,33.916666666666664,120821.18125000001,10857.070833333333,2711.7166666666667,3746.579166666667,15030.866666666667
2023-11-27,,,8744.495833333332,3677.289583333333,29659.4875,1518.3916666666667,28637.1875,12108.704166666668,700.9645833333334,411.6375,721.3083333333334,651.4625,23154.912500000002,6100.679166666666,-3418.8541666666665,21586.5125,169368.92083333334,75121.2,447.1958333333334,3509.35,61.199999999999996,45.025,134443.14791666667,7259.741666666666,2621.85,8704.491666666667,26943.662500000002
2023-11-28,,,8661.25,3103.370833333333,28947.666666666668,1459.1291666666666,31360.602127659575,13382.814893617022,825.3893617021278,323.2583333333333,554.1,643.1374999999999,23103.970833333336,7316.104166666667,-3884.1,19867.420833333334,172718.83333333334,75981.8875,445.7416666666666,4165.555319148936,22.555319148936167,19.9468085106383,137608.78333333333,5715.712500000001,2617.5083333333337,7868.429166666666,28920.48510638298
2023-11-29,,,8742.291666666666,3444.1270833333333,28838.25,1429.5833333333333,33591.081249999996,13672.456250000001,827.5708333333333,546.0541666666667,745.4083333333333,644.8625000000001,23359.8875,6540.920833333334,-3651.441666666667,20589.266666666666,180333.67173913046,73866.72916666667,451.44166666666666,3755.714583333334,31.822916666666668,23.895652173913046,145977.69130434783,7472.695833333334,2627.6208333333334,4584.845833333334,26901.5625
