Date,Storage(TWh)
2022-10-11,1019.4402
2022-10-12,1020.8383
2022-10-13,1022.187
2022-10-14,1024.3546
2022-10-15,1027.5279
2022-10-16,1030.6657
2022-10-17,1033.0195
2022-10-18,1034.8382
2022-10-19,1036.3637
2022-10-20,1037.579
2022-10-21,1038.9309
2022-10-22,1041.3192
2022-10-23,1043.7044
2022-10-24,1045.8332
2022-10-25,1047.0659
2022-10-26,1048.1046
2022-10-27,1049.6886
2022-10-28,1051.498
2022-10-29,1054.058
2022-10-30,1056.6069
2022-10-31,1058.2953
2022-11-01,1060.2462
2022-11-02,1061.2311
2022-11-03,1061.4308
2022-11-04,1062.0635
2022-11-05,1063.3031
2022-11-06,1064.696
2022-11-07,1065.2325
2022-11-08,1065.8808
2022-11-09,1066.5893
2022-11-10,1067.2482
2022-11-11,1067.8995
2022-11-12,1068.8525
2022-11-13,1069.9086
2022-11-14,1069.1771
2022-11-15,1067.9428
2022-11-16,1067.2688
2022-11-17,1066.8778
2022-11-18,1065.6542
2022-11-19,1064.6139
2022-11-20,1063.3403
2022-11-21,1061.0532
2022-11-22,1058.4577
2022-11-23,1056.5257
2022-11-24,1054.5788
2022-11-25,1052.6613
2022-11-26,1051.9008
2022-11-27,1051.2784
2022-11-28,1047.93
2022-11-29,1043.4119
2022-11-30,1038.8324
2022-12-01,1033.5197
2022-12-02,1028.3802
2022-12-03,1025.075
2022-12-04,1021.829
2022-12-05,1017.1151
2022-12-06,1012.0558
2022-12-07,1006.6241
2022-12-08,1000.9526
2022-12-09,995.5367
2022-12-10,990.7029
2022-12-11,985.4662
2022-12-12,977.6165
2022-12-13,968.9158
2022-12-14,961.0664
2022-12-15,953.5757
2022-12-16,947.0468
2022-12-17,942.356
2022-12-18,938.3461
2022-12-19,934.2137
2022-12-20,931.1683
2022-12-21,929.7734
2022-12-22,928.7365
2022-12-23,928.3609
2022-12-24,929.2471
2022-12-25,930.615
2022-12-26,931.7377
2022-12-27,931.4395
2022-12-28,931.4201
